paper_id,url,story_name,publication,date
marginal_ideas,https://blog.expectedparrot.com/p/marginal-ideas,"Marginal Ideas","Expected Parrot",2026-07-22
chaining,https://mitsloan.mit.edu/ideas-made-to-matter/how-ai-reshaping-workflows-and-redefining-jobs,"How AI is reshaping workflows and redefining jobs","MIT Sloan",2026-04-22
cs,https://mitsloan.mit.edu/ideas-made-to-matter/agentic-ai-explained,"Agentic AI, explained","MIT Sloan",2026-02-18
cs,https://marginalrevolution.com/marginalrevolution/2025/10/will-there-be-a-coasean-singularity.html,"Will there be a Coasean singularity?","Marginal Revolution","2025-10-22 00:00:00"
grammarly,https://www.marketwatch.com/story/looking-for-a-new-job-brush-up-your-resume-with-a-computer-algorithm-seriously-it-could-pay-off-d063ae09,"Looking for a new job? Brush up your résumé with a computer algorithm. Seriously, it could pay off",MarketWatch,"2023-02-19 00:00:00"
grammarly,https://www.businessinsider.com/using-ai-write-resume-chatgpt-job-search-cover-letter-2023-2,"Writing your résumé with AI makes it easier to find a job, a study finds. But this edge could vanish once everybody's doing it.","Business Insider","2023-03-01 00:00:00"
grammarly,https://observer.com/2023/02/ai-generated-resumes-lead-to-more-job-offers-and-higher-wages-study-finds/,"AI-Generated Resumes Lead to More Job Offers and Higher Wages, Study Finds","The Observer","2023-02-13 00:00:00"
grammarly,https://qz.com/should-chatgpt-write-your-resume-1850170319,"Should ChatGPT write your resume?",Quartz,"2023-03-01 00:00:00"
sharing,https://www.washingtonpost.com/news/wonk/wp/2016/01/06/sorry-you-wont-be-sharing-your-toothbrush-for-money/,"What we won't share","The Washington Post","2016-01-06 00:00:00"
uber_price,https://www.wsj.com/articles/ubers-driver-dilemma-fare-hikes-and-cuts-dont-change-pay-1510491602,"Uber’s Driver Dilemma: Fare Hikes and Cuts Don’t Change Pay","Wall Street Journal","2017-11-13 00:00:00"
uber_price,https://qz.com/1129367/driving-for-uber-will-never-be-a-great-job-thanks-to-these-simple-economics/,"Simple economics explain why driving for Uber will never be a great job",Quartz,"2018-11-14 00:00:00"
airbnb,https://www.theguardian.com/technology/2019/aug/07/emoji-house-airbnb-california-manhattan-beach,"The hot pink emoji house and the problem of Airbnb neighbors from hell","The Guardian","2019-08-07 00:00:00"
WageHistory,https://www.nytimes.com/2018/02/16/business/economy/salary-history-laws.html,"If a Law Bars Asking Your Past Salary, Does It Help or Hurt?","The New York Times","2018-02-16 00:00:00"
minimum_wage,https://www.nytimes.com/2017/01/10/business/economy/national-minimum-wage-.html?_r=0,"Higher minimum wage may have losers","The New York Times","2017-01-17 00:00:00"
minimum_wage,https://www.bloomberg.com/opinion/articles/2017-04-26/minimum-wage-warriors-see-certainty-in-ambiguity,"Minimum wage warriers see certainty in ambiguity","Bloomberg View","2017-04-26 00:00:00"
longrun,https://www.ft.com/content/a72f7e56-3724-11e8-8b98-2f31af407cc8,"Let gig economy workers control their data too","Financial Times","2018-04-03 00:00:00"
longrun,https://qz.com/1244155/good-luck-leaving-your-uber-driver-less-than-five-stars/,"Good luck leaving your Uber driver less than 5 stars",Quartz,"2018-04-05 00:00:00"
longrun,https://fortune.com/2018/04/05/uber-negative-ratings-stars/,"Giving Your Uber Driver 5 Stars Isn’t Helping Anyone",Fortune,"2018-04-05 00:00:00"
minimum_wage,http://www.wsj.com/articles/price-floors-and-employer-preferences-evidence-from-a-minimum-wage-experiment-1484953328?mg=id-wsj,"Central Bank Research","Wall Street Journal","2017-04-20 00:00:00"
WageHistory,https://www.marketwatch.com/story/when-employers-cant-ask-about-salary-history-workers-can-see-double-digit-jumps-in-pay-2020-01-14,"This is what happens when employers can’t ask job applicants about salary history",MarketWatch,"2020-01-28 00:00:00"
uber_price,https://apnews.com/article/north-america-financial-markets-technology-us-news-business-dee67b607a034699abf4ec14bab5cb1c,"Why the ‘gig’ economy may not be the workforce of the future","AP News","2018-09-24 00:00:00"
schumpeter,https://qz.com/work/1702462/what-happens-to-tech-workers-when-their-skills-become-obsolete/,"What happens to tech workers when their skills become obseolete? ",Quartz,"2019-09-06 00:00:00"
longrun,https://www.eurekalert.org/news-releases/954537,"Five-star rating? New research finds it may not reflect what consumers receive",EurekAlert,
baller,https://hbswk.hbs.edu/item/how-much-more-will-trendy-shoppers-pay-to-wear-something-rare,"How much more would people pay to wear something rare?","HBS Working Knowledge",
search_ad_exp,https://freakonomics.com/podcast/does-advertising-actually-work-part-2-digital-ep-441/,"Does advertising actually work?","Freakanomics Radio",
