order,title,published,status,id,google_scholar,has_slides,alternate_url
-6,"Chaining tasks, redefining work: A theory of AI automation",0,"NBER Working Paper 34859",chaining,https://scholar.google.com/scholar?q=%22Chaining+Tasks%2C+Redefining+Work%3A+A+Theory+of+AI+Automation%22,,
-5,"Simulating the Survey of Professional Forecasters",0,"Working paper",spf,https://scholar.google.com/scholar?q=%22Simulating+the+Survey+of+Professional+Forecasters%22,,
-4,"AI agents can enable superior market designs",0,"Working paper",program_choices,https://scholar.google.com/scholar?q=%22AI+Agents+Can+Enable+Superior+Market+Designs%22,,
-3,"Learning from synthetic labs: Language models as auction participants",0,"Working paper",synthetic_labs,https://scholar.google.com/scholar?q=%22Learning+from+Synthetic+Labs%3A+Language+Models+as+Auction+Participants%22,,
-2,"Strategic tradeoffs between humans and AI in multi-agent bargaining",1,"ACM IUI 2026",ai_bargaining,https://scholar.google.com/scholar?q=%22Strategic+Tradeoffs+Between+Humans+and+AI+in+Multi-Agent+Bargaining%22,,
-1,"Generative AI and labor market matching efficiency",0,"R&R at Management Science",jobot,https://scholar.google.com/scholar?q=%22Generative+AI+and+Labor+Market+Matching+Efficiency%22,,
0,"The Coasean singularity? Demand, supply, and market design with AI agents",1,"Forthcoming book chapter",cs,https://scholar.google.com/scholar?q=%22The+Coasean+Singularity%3F+Demand%2C+Supply%2C+and+Market+Design+with+AI+Agents%22,,
1,"General social agents",0,"R&R at Econometrica",gsa,https://scholar.google.com/scholar?q=%22General+Social+Agents%22,,
2,"Automated social science: Language models as scientist and subjects",0,"R&R at Quarterly Journal of Economics",ass,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=L_O2kH0AAAAJ&cstart=20&pagesize=80&citation_for_view=L_O2kH0AAAAJ:NxmKEeNBbOMC,,
3,"Large language models as economic agents: What can we learn from Homo silicus?",0,"R&R at Review of Economics and Statistics",llm_ask,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=L_O2kH0AAAAJ&cstart=20&pagesize=80&citation_for_view=L_O2kH0AAAAJ:YlPif8NxrbYC,15.0,
4,"The death of a technical skill",1,"Information Systems Research 36(3): 1799–1820 (2025)",schumpeter,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=L_O2kH0AAAAJ&cstart=20&pagesize=80&citation_for_view=L_O2kH0AAAAJ:w0F2JDEymm0C,23.0,
5,"Algorithmic writing assistance on jobseekers’ resumes increases hires",1,"Management Science",grammarly,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=L_O2kH0AAAAJ&cstart=20&pagesize=80&citation_for_view=L_O2kH0AAAAJ:wE-fMHVdjMkC,9.0,
6,"Price floors and employer preferences: Evidence from a minimum wage experiment",1,"American Economic Review",minimum_wage,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=L_O2kH0AAAAJ&pagesize=80&citation_for_view=L_O2kH0AAAAJ:-7ulzOJl1JYC,12.0,
7,"Reducing congestion in labor markets: A case study in simple market design",0,"R&R at American Economic Journal: Microeconomics",autopause,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=L_O2kH0AAAAJ&cstart=20&pagesize=80&citation_for_view=L_O2kH0AAAAJ:kJDgFkosVoMC,5.0,
8,"The tragedy of your upstairs neighbors",0,"R&R at Journal of Public Economics",airbnb,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=L_O2kH0AAAAJ&pagesize=80&citation_for_view=L_O2kH0AAAAJ:XUvXOeBm_78C,,
9,"Consumer demand with social influences: Evidence from an e-commerce platform",1,"Management Science",baller,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=L_O2kH0AAAAJ&cstart=20&pagesize=80&citation_for_view=L_O2kH0AAAAJ:zdjWy_NXXwUC,,
10,"Competition avoidance vs. herding in job search: Evidence from large-scale field experiments on an online job board",1,"Management Science",facebook,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=L_O2kH0AAAAJ&cstart=20&pagesize=80&citation_for_view=L_O2kH0AAAAJ:2ywjKiB__4kC,,
11,"The production and consumption of social media",1,"Management Science",twitter,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=L_O2kH0AAAAJ&cstart=20&pagesize=80&citation_for_view=L_O2kH0AAAAJ:F2UWTTQJPOcC,28.0,
12,"Costly capacity signaling increases matching efficiency: Evidence from a field experiment",0,"Forthcoming at Management Science",coy,https://scholar.google.com/scholar?q=%22Costly+Capacity+Signaling+Increases+Matching+Efficiency%3A+Evidence+from+a+Field+Experiment%22,,
13,"Buyer signaling improves matching: Evidence from a field experiment",0,"R&R at American Economic Journal: Microeconomics",hot_towel,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fhLHgd8AAAAJ&cstart=20&pagesize=80&citation_for_view=fhLHgd8AAAAJ:8AbLer7MMksC,8.0,
14,"Ride-sharing markets re-equilibrate",0,"R&R at Journal of Economics & Management Strategy",uber_price,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=L_O2kH0AAAAJ&citation_for_view=L_O2kH0AAAAJ:oi2SiIJ9l4AC,30.0,
15,"The effects of algorithmic labor market recommendations: Evidence from a field experiment",1,"Journal of Labor Economics",employer_search,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=L_O2kH0AAAAJ&citation_for_view=L_O2kH0AAAAJ:6bLC7aUMtPcC,4.0,
16,"Labor allocation in paid crowdsourcing: Experimental evidence on positioning, nudges, and prices",1,HCOMP,allocation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=L_O2kH0AAAAJ&cstart=20&pagesize=80&citation_for_view=L_O2kH0AAAAJ:roLk4NBRz8UC,2.0,
17,"COVID-19 and remote work: An early look at US data",0,"Working paper",covid,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=L_O2kH0AAAAJ&citation_for_view=L_O2kH0AAAAJ:w1MjKQ0l0TYC,,
